cluster
**Similarity**|**APIV1**|**APIV2**|**comment**
:-----:|:-----:|:-----:|:----:|
0.8717|`sklearn.cluster._mean_shift/MeanShift/fit`|`sklearn.cluster._mean_shift/MeanShift/fit`|
0.8638|`sklearn.cluster._birch/Birch/_fit`|`sklearn.cluster._birch/Birch/_fit`|
0.8611|`sklearn.cluster._mean_shift/MeanShift/predict`|`sklearn.cluster._mean_shift/MeanShift/predict`|
0.8571|`sklearn.cluster._birch/_CFSubcluster/radius@getter`|`sklearn.cluster._birch/_CFSubcluster/radius@getter`|
0.8194|`sklearn.cluster._bicluster/BaseSpectral/__init__`|`sklearn.cluster._bicluster/BaseSpectral/__init__`|
0.8182|`sklearn.cluster._feature_agglomeration/AgglomerationTransform/inverse_transform`|`sklearn.cluster._feature_agglomeration/AgglomerationTransform/inverse_transform`|
0.7868|`sklearn.cluster._feature_agglomeration/AgglomerationTransform/transform`|`sklearn.cluster._feature_agglomeration/AgglomerationTransform/transform`|
0.7716|`sklearn.cluster._kmeans/KMeans/_check_test_data`|`sklearn.cluster._kmeans/_BaseKMeans/_check_test_data`|
0.7716|`sklearn.cluster._kmeans/KMeans/_transform`|`sklearn.cluster._kmeans/_BaseKMeans/_transform`|
0.7716|`sklearn.cluster._kmeans/KMeans/_validate_center_shape`|`sklearn.cluster._kmeans/_BaseKMeans/_validate_center_shape`|
0.7716|`sklearn.cluster._kmeans/KMeans/fit_predict`|`sklearn.cluster._kmeans/_BaseKMeans/fit_predict`|
0.7716|`sklearn.cluster._kmeans/KMeans/transform`|`sklearn.cluster._kmeans/_BaseKMeans/transform`|
0.7634|`sklearn.cluster._optics/OPTICS/fit`|`sklearn.cluster._optics/OPTICS/fit`|
0.75|`sklearn.cluster._kmeans/MiniBatchKMeans/partial_fit`|`sklearn.cluster._kmeans/MiniBatchKMeans/partial_fit`|
0.7412|`sklearn.cluster._kmeans/KMeans/fit_transform`|`sklearn.cluster._kmeans/_BaseKMeans/fit_transform`|
0.7361|`sklearn.cluster._kmeans/KMeans/score`|`sklearn.cluster._kmeans/_BaseKMeans/score`|
0.7265|`sklearn.cluster._kmeans/KMeans/_init_centroids`|`sklearn.cluster._kmeans/_BaseKMeans/_init_centroids`|
0.7222|`sklearn.cluster._dbscan/DBSCAN/__init__`|`sklearn.cluster._dbscan/DBSCAN/__init__`|
0.7188|`sklearn.cluster._mean_shift/MeanShift/__init__`|`sklearn.cluster._mean_shift/MeanShift/__init__`|
0.7138|`sklearn.cluster._bicluster/BaseSpectral/fit`|`sklearn.cluster._bicluster/BaseSpectral/fit`|
0.7083|`sklearn.cluster._birch/Birch/__init__`|`sklearn.cluster._birch/Birch/__init__`|
0.7058|`sklearn.cluster._affinity_propagation/AffinityPropagation/__init__`|`sklearn.cluster._affinity_propagation/AffinityPropagation/__init__`|
0.7058|`sklearn.cluster._kmeans/MiniBatchKMeans/fit`|`sklearn.cluster._kmeans/MiniBatchKMeans/fit`|
0.6944|`sklearn.cluster._bicluster/SpectralCoclustering/__init__`|`sklearn.cluster._bicluster/SpectralCoclustering/__init__`|
0.6875|`sklearn.cluster._bicluster/SpectralBiclustering/__init__`|`sklearn.cluster._bicluster/SpectralBiclustering/__init__`|
0.6833|`sklearn.cluster._optics/OPTICS/__init__`|`sklearn.cluster._optics/OPTICS/__init__`|
0.6803|`sklearn.cluster._agglomerative/AgglomerativeClustering/fit`|`sklearn.cluster._agglomerative/AgglomerativeClustering/fit`|
0.6719|`sklearn.cluster._spectral/SpectralClustering/__init__`|`sklearn.cluster._spectral/SpectralClustering/__init__`|
0.669|`sklearn.cluster._kmeans/MiniBatchKMeans/__init__`|`sklearn.cluster._kmeans/MiniBatchKMeans/__init__`|
0.6667|`sklearn.cluster._agglomerative/FeatureAgglomeration/fit`|`sklearn.cluster._agglomerative/FeatureAgglomeration/fit`|
0.6562|`sklearn.cluster._kmeans/KMeans/_check_mkl_vcomp`|`sklearn.cluster._kmeans/_BaseKMeans/_check_mkl_vcomp`|
0.65|`sklearn.cluster._agglomerative/AgglomerativeClustering/__init__`|`sklearn.cluster._agglomerative/AgglomerativeClustering/__init__`|
0.6458|`sklearn.cluster._kmeans/KMeans/__init__`|`sklearn.cluster._kmeans/KMeans/__init__`|
0.6378|`sklearn.cluster._bicluster/SpectralBiclustering/_check_parameters`|`sklearn.cluster._bicluster/SpectralBiclustering/_check_parameters`|
0.625|`sklearn.cluster._bicluster/BaseSpectral/_check_parameters`|`sklearn.cluster._bicluster/BaseSpectral/_check_parameters`|
0.5909|`sklearn.cluster._agglomerative/FeatureAgglomeration/__init__`|`sklearn.cluster._agglomerative/FeatureAgglomeration/__init__`|
0.5415|`sklearn.cluster._kmeans/MiniBatchKMeans/_check_params`|`sklearn.cluster._kmeans/MiniBatchKMeans/_check_params_vs_input`|
-|`sklearn/sklearn.cluster._affinity_propagation/_equal_similarities_and_preferences`||
-|`sklearn/sklearn.cluster._affinity_propagation/affinity_propagation`||
-|`sklearn/sklearn.cluster._agglomerative/_average_linkage`||
-|`sklearn/sklearn.cluster._agglomerative/_complete_linkage`||
-|`sklearn/sklearn.cluster._agglomerative/_fix_connectivity`||
-|`sklearn/sklearn.cluster._agglomerative/_hc_cut`||
-|`sklearn/sklearn.cluster._agglomerative/_single_linkage`||
-|`sklearn/sklearn.cluster._agglomerative/_single_linkage_tree`||
-|`sklearn/sklearn.cluster._agglomerative/linkage_tree`||
-|`sklearn/sklearn.cluster._agglomerative/ward_tree`||
