cluster
**Similarity**|**APIV1**|**APIV2**|**comment**
:-----:|:-----:|:-----:|:----:|
-||`sklearn/sklearn.cross_decomposition._pls/PLSSVD/_n_features_out`|
-||`sklearn/sklearn.cross_decomposition._pls/_PLS/intercept_`|
-||`sklearn/sklearn.cross_decomposition._pls/_PLS/_n_features_out`|
-||`sklearn/sklearn.cross_decomposition._pls/_PLS/_coef_warning`|
-|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/x_mean_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/x_scores_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/x_std_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/y_mean_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/y_scores_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/y_std_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/norm_y_weights/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_mean_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_scores_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_std_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/y_mean_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/y_scores_/self`||
-|`sklearn/sklearn.cross_decomposition._pls/_PLS/y_std_/self`||
-||`sklearn/sklearn.cross_decomposition._pls/PLSRegression/fit/self`|
-||`sklearn/sklearn.cross_decomposition._pls/PLSRegression/fit/X`|
-||`sklearn/sklearn.cross_decomposition._pls/PLSRegression/fit/Y`|
-||`sklearn/sklearn.cross_decomposition._pls/_PLS/coef_/self`|
-||`sklearn/sklearn.cross_decomposition._pls/_PLS/inverse_transform/Y`|
0.9792|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_rotations_, sklearn/sklearn.cross_decomposition._pls/_PLS/y_rotations_`|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_rotations_, sklearn/sklearn.cross_decomposition._pls/_PLS/y_rotations_`|
0.9773|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_loadings_, sklearn/sklearn.cross_decomposition._pls/_PLS/y_loadings_`|`sklearn/sklearn.cross_decomposition._pls/_PLS/x_loadings_, sklearn/sklearn.cross_decomposition._pls/_PLS/y_loadings_`|
decomposition
**Similarity**|**APIV1**|**APIV2**|**comment**
:-----:|:-----:|:-----:|:----:|
0.9722|`sklearn.decomposition._dict_learning/_BaseSparseCoding`|`sklearn.decomposition._dict_learning/_BaseSparseCoding`|
0.9579|`sklearn.decomposition._incremental_pca/IncrementalPCA`|`sklearn.decomposition._incremental_pca/IncrementalPCA`|
0.9558|`sklearn.decomposition._lda/LatentDirichletAllocation`|`sklearn.decomposition._lda/LatentDirichletAllocation`|
0.9541|`sklearn.decomposition._base/_BasePCA`|`sklearn.decomposition._base/_BasePCA`|
0.9515|`sklearn.decomposition._factor_analysis/FactorAnalysis`|`sklearn.decomposition._factor_analysis/FactorAnalysis`|
0.9294|`sklearn.decomposition._dict_learning/SparseCoder`|`sklearn.decomposition._dict_learning/SparseCoder`|
0.9096|`sklearn.decomposition._dict_learning/DictionaryLearning`|`sklearn.decomposition._dict_learning/DictionaryLearning`|
0.9094|`sklearn.decomposition._pca/PCA`|`sklearn.decomposition._pca/PCA`|
0.8669|`sklearn.decomposition._truncated_svd/TruncatedSVD`|`sklearn.decomposition._truncated_svd/TruncatedSVD`|
0.8468|`sklearn.cross_decomposition._pls/_PLS`|`sklearn.cross_decomposition._pls/_PLS`|
0.8422|`sklearn.decomposition._fastica/FastICA`|`sklearn.decomposition._fastica/FastICA`|
0.8398|`sklearn.decomposition._kernel_pca/KernelPCA`|`sklearn.decomposition._kernel_pca/KernelPCA`|
0.8182|`sklearn.cross_decomposition._pls/PLSSVD`|`sklearn.cross_decomposition._pls/PLSSVD`|
0.7354|`sklearn.decomposition._sparse_pca/MiniBatchSparsePCA`|`sklearn.decomposition._sparse_pca/MiniBatchSparsePCA`|
0.7061|`sklearn.decomposition._sparse_pca/SparsePCA`|`sklearn.decomposition._sparse_pca/SparsePCA`|
0.6864|`sklearn.decomposition._nmf/NMF`|`sklearn.decomposition._nmf/NMF`|
0.6621|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning`|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning`|
1.0|`sklearn.decomposition._dict_learning/_BaseSparseCoding/__init__`|`sklearn.decomposition._dict_learning/_BaseSparseCoding/__init__`|
1.0|`sklearn.decomposition._dict_learning/_BaseSparseCoding/transform`|`sklearn.decomposition._dict_learning/_BaseSparseCoding/transform`|
1.0|`sklearn.decomposition._factor_analysis/FactorAnalysis/get_covariance`|`sklearn.decomposition._factor_analysis/FactorAnalysis/get_covariance`|
1.0|`sklearn.decomposition._factor_analysis/FactorAnalysis/get_precision`|`sklearn.decomposition._factor_analysis/FactorAnalysis/get_precision`|
1.0|`sklearn.decomposition._factor_analysis/FactorAnalysis/transform`|`sklearn.decomposition._factor_analysis/FactorAnalysis/transform`|
1.0|`sklearn.decomposition._kernel_pca/KernelPCA/_get_kernel`|`sklearn.decomposition._kernel_pca/KernelPCA/_get_kernel`|
1.0|`sklearn.decomposition._kernel_pca/KernelPCA/_more_tags`|`sklearn.decomposition._kernel_pca/KernelPCA/_more_tags`|
1.0|`sklearn.decomposition._lda/LatentDirichletAllocation/_approx_bound`|`sklearn.decomposition._lda/LatentDirichletAllocation/_approx_bound`|
1.0|`sklearn.decomposition._lda/LatentDirichletAllocation/_em_step`|`sklearn.decomposition._lda/LatentDirichletAllocation/_em_step`|
1.0|`sklearn.decomposition._lda/LatentDirichletAllocation/transform`|`sklearn.decomposition._lda/LatentDirichletAllocation/transform`|
1.0|`sklearn.decomposition._pca/PCA/score_samples`|`sklearn.decomposition._pca/PCA/score_samples`|
1.0|`sklearn.decomposition._truncated_svd/TruncatedSVD/inverse_transform`|`sklearn.decomposition._truncated_svd/TruncatedSVD/inverse_transform`|
1.0|`sklearn.decomposition._truncated_svd/TruncatedSVD/transform`|`sklearn.decomposition._truncated_svd/TruncatedSVD/transform`|
1.0|`sklearn.decomposition._truncated_svd/TruncatedSVD/_more_tags`|`sklearn.decomposition._truncated_svd/TruncatedSVD/_more_tags`|
1.0|`sklearn.decomposition._pca/PCA/_more_tags`|`sklearn.decomposition._pca/PCA/_more_tags`|
1.0|`sklearn.cross_decomposition._pls/_PLS/_more_tags`|`sklearn.cross_decomposition._pls/_PLS/_more_tags`|
0.9962|`sklearn.decomposition._lda/LatentDirichletAllocation/_e_step`|`sklearn.decomposition._lda/LatentDirichletAllocation/_e_step`|
0.9881|`sklearn.decomposition._base/_BasePCA/get_covariance`|`sklearn.decomposition._base/_BasePCA/get_covariance`|
0.9875|`sklearn.cross_decomposition._pls/PLSSVD/fit_transform`|`sklearn.cross_decomposition._pls/PLSSVD/fit_transform`|
0.9848|`sklearn.decomposition._base/_BasePCA/get_precision`|`sklearn.decomposition._base/_BasePCA/get_precision`|
0.9728|`sklearn.decomposition._pca/PCA/_fit`|`sklearn.decomposition._pca/PCA/_fit`|
0.9688|`sklearn.cross_decomposition._pls/PLSSVD/transform`|`sklearn.cross_decomposition._pls/PLSSVD/transform`|
0.9659|`sklearn.decomposition._pca/PCA/_fit_full`|`sklearn.decomposition._pca/PCA/_fit_full`|
0.9643|`sklearn.decomposition._lda/LatentDirichletAllocation/perplexity`|`sklearn.decomposition._lda/LatentDirichletAllocation/perplexity`|
0.9615|`sklearn.cross_decomposition._pls/_PLS/transform`|`sklearn.cross_decomposition._pls/_PLS/transform`|
0.9583|`sklearn.decomposition._kernel_pca/KernelPCA/_fit_inverse_transform`|`sklearn.decomposition._kernel_pca/KernelPCA/_fit_inverse_transform`|
0.955|`sklearn.decomposition._lda/LatentDirichletAllocation/_perplexity_precomp_distr`|`sklearn.decomposition._lda/LatentDirichletAllocation/_perplexity_precomp_distr`|
0.9435|`sklearn.decomposition._dict_learning/_BaseSparseCoding/_transform`|`sklearn.decomposition._dict_learning/_BaseSparseCoding/_transform`|
0.9375|`sklearn.decomposition._dict_learning/SparseCoder/n_components_@getter`|`sklearn.decomposition._dict_learning/SparseCoder/n_components_@getter`|
0.9375|`sklearn.decomposition._dict_learning/SparseCoder/n_features_in_@getter`|`sklearn.decomposition._dict_learning/SparseCoder/n_features_in_@getter`|
0.9309|`sklearn.decomposition._pca/PCA/_fit_truncated`|`sklearn.decomposition._pca/PCA/_fit_truncated`|
0.9274|`sklearn.cross_decomposition._pls/_PLS/predict`|`sklearn.cross_decomposition._pls/_PLS/predict`|
0.9242|`sklearn.cross_decomposition._pls/_PLS/fit`|`sklearn.cross_decomposition._pls/_PLS/fit`|
0.9199|`sklearn.decomposition._kernel_pca/KernelPCA/_fit_transform`|`sklearn.decomposition._kernel_pca/KernelPCA/_fit_transform`|
0.9067|`sklearn.decomposition._lda/LatentDirichletAllocation/score`|`sklearn.decomposition._lda/LatentDirichletAllocation/score`|
0.9053|`sklearn.decomposition._pca/PCA/score`|`sklearn.decomposition._pca/PCA/score`|
0.9046|`sklearn.decomposition._lda/LatentDirichletAllocation/fit`|`sklearn.decomposition._lda/LatentDirichletAllocation/fit`|
0.8981|`sklearn.decomposition._lda/LatentDirichletAllocation/_init_latent_vars`|`sklearn.decomposition._lda/LatentDirichletAllocation/_init_latent_vars`|
0.8977|`sklearn.decomposition._lda/LatentDirichletAllocation/_check_non_neg_array`|`sklearn.decomposition._lda/LatentDirichletAllocation/_check_non_neg_array`|
0.8935|`sklearn.cross_decomposition._pls/PLSSVD/fit`|`sklearn.cross_decomposition._pls/PLSSVD/fit`|
0.8917|`sklearn.decomposition._truncated_svd/TruncatedSVD/fit`|`sklearn.decomposition._truncated_svd/TruncatedSVD/fit`|
0.8871|`sklearn.decomposition._lda/LatentDirichletAllocation/_unnormalized_transform`|`sklearn.decomposition._lda/LatentDirichletAllocation/_unnormalized_transform`|
0.8767|`sklearn.decomposition._lda/LatentDirichletAllocation/partial_fit`|`sklearn.decomposition._lda/LatentDirichletAllocation/partial_fit`|
0.8725|`sklearn.decomposition._base/_BasePCA/fit`|`sklearn.decomposition._base/_BasePCA/fit`|
0.8681|`sklearn.decomposition._factor_analysis/FactorAnalysis/fit`|`sklearn.decomposition._factor_analysis/FactorAnalysis/fit`|
0.8667|`sklearn.decomposition._fastica/FastICA/inverse_transform`|`sklearn.decomposition._fastica/FastICA/inverse_transform`|
0.8631|`sklearn.decomposition._fastica/FastICA/transform`|`sklearn.decomposition._fastica/FastICA/transform`|
0.862|`sklearn.decomposition._truncated_svd/TruncatedSVD/fit_transform`|`sklearn.decomposition._truncated_svd/TruncatedSVD/fit_transform`|
0.8571|`sklearn.cross_decomposition._pls/_PLS/__init__`|`sklearn.cross_decomposition._pls/_PLS/__init__`|
0.8567|`sklearn.decomposition._incremental_pca/IncrementalPCA/transform`|`sklearn.decomposition._incremental_pca/IncrementalPCA/transform`|
0.8484|`sklearn.decomposition._incremental_pca/IncrementalPCA/partial_fit`|`sklearn.decomposition._incremental_pca/IncrementalPCA/partial_fit`|
0.8409|`sklearn.decomposition._factor_analysis/FactorAnalysis/score_samples`|`sklearn.decomposition._factor_analysis/FactorAnalysis/score_samples`|
0.8407|`sklearn.decomposition._kernel_pca/KernelPCA/inverse_transform`|`sklearn.decomposition._kernel_pca/KernelPCA/inverse_transform`|
0.8333|`sklearn.decomposition._dict_learning/SparseCoder/_more_tags`|`sklearn.decomposition._dict_learning/SparseCoder/_more_tags`|
0.8333|`sklearn.decomposition._factor_analysis/FactorAnalysis/_rotate`|`sklearn.decomposition._factor_analysis/FactorAnalysis/_rotate`|
0.8333|`sklearn.decomposition._lda/LatentDirichletAllocation/_more_tags`|`sklearn.decomposition._lda/LatentDirichletAllocation/_more_tags`|
0.8214|`sklearn.decomposition._base/_BasePCA/transform`|`sklearn.decomposition._base/_BasePCA/transform`|
0.8167|`sklearn.decomposition._kernel_pca/KernelPCA/transform`|`sklearn.decomposition._kernel_pca/KernelPCA/transform`|
0.8088|`sklearn.decomposition._incremental_pca/IncrementalPCA/fit`|`sklearn.decomposition._incremental_pca/IncrementalPCA/fit`|
0.8068|`sklearn.decomposition._base/_BasePCA/inverse_transform`|`sklearn.decomposition._base/_BasePCA/inverse_transform`|
0.8067|`sklearn.decomposition._dict_learning/DictionaryLearning/fit`|`sklearn.decomposition._dict_learning/DictionaryLearning/fit`|
0.7992|`sklearn.decomposition._dict_learning/SparseCoder/transform`|`sklearn.decomposition._dict_learning/SparseCoder/transform`|
0.7986|`sklearn.decomposition._pca/PCA/fit_transform`|`sklearn.decomposition._pca/PCA/fit_transform`|
0.7976|`sklearn.decomposition._dict_learning/SparseCoder/fit`|`sklearn.decomposition._dict_learning/SparseCoder/fit`|
0.7917|`sklearn.cross_decomposition._pls/_PLS/inverse_transform`|`sklearn.cross_decomposition._pls/_PLS/inverse_transform`|
0.7904|`sklearn.decomposition._nmf/NMF/fit_transform`|`sklearn.decomposition._nmf/NMF/fit_transform`|
0.7778|`sklearn.decomposition._factor_analysis/FactorAnalysis/score`|`sklearn.decomposition._factor_analysis/FactorAnalysis/score`|
0.7765|`sklearn.decomposition._pca/PCA/fit`|`sklearn.decomposition._pca/PCA/fit`|
0.7716|`sklearn.decomposition._sparse_pca/SparsePCA/transform`|`sklearn.decomposition._sparse_pca/_BaseSparsePCA/transform`|
0.7619|`sklearn.decomposition._kernel_pca/KernelPCA/fit`|`sklearn.decomposition._kernel_pca/KernelPCA/fit`|
0.7583|`sklearn.cross_decomposition._pls/_PLS/fit_transform`|`sklearn.cross_decomposition._pls/_PLS/fit_transform`|
0.75|`sklearn.decomposition._dict_learning/SparseCoder/__init__`|`sklearn.decomposition._dict_learning/SparseCoder/__init__`|
0.75|`sklearn.decomposition._incremental_pca/IncrementalPCA/__init__`|`sklearn.decomposition._incremental_pca/IncrementalPCA/__init__`|
0.75|`sklearn.decomposition._nmf/NMF/transform`|`sklearn.decomposition._nmf/NMF/transform`|
0.7424|`sklearn.decomposition._fastica/FastICA/fit`|`sklearn.decomposition._fastica/FastICA/fit`|
0.7424|`sklearn.decomposition._fastica/FastICA/fit_transform`|`sklearn.decomposition._fastica/FastICA/fit_transform`|
0.7238|`sklearn.decomposition._kernel_pca/KernelPCA/fit_transform`|`sklearn.decomposition._kernel_pca/KernelPCA/fit_transform`|
0.7206|`sklearn.decomposition._lda/LatentDirichletAllocation/__init__`|`sklearn.decomposition._lda/LatentDirichletAllocation/__init__`|
0.7143|`sklearn.cross_decomposition._pls/PLSCanonical/__init__`|`sklearn.cross_decomposition._pls/PLSCanonical/__init__`|
0.7104|`sklearn.decomposition._factor_analysis/FactorAnalysis/__init__`|`sklearn.decomposition._factor_analysis/FactorAnalysis/__init__`|
0.7083|`sklearn.cross_decomposition._pls/CCA/__init__`|`sklearn.cross_decomposition._pls/CCA/__init__`|
0.7083|`sklearn.cross_decomposition._pls/PLSRegression/__init__`|`sklearn.cross_decomposition._pls/PLSRegression/__init__`|
0.7083|`sklearn.decomposition._sparse_pca/SparsePCA/__init__`|`sklearn.decomposition._sparse_pca/SparsePCA/__init__`|
0.7007|`sklearn.decomposition._nmf/NMF/inverse_transform`|`sklearn.decomposition._nmf/_BaseNMF/inverse_transform`|
0.7004|`sklearn.decomposition._dict_learning/DictionaryLearning/__init__`|`sklearn.decomposition._dict_learning/DictionaryLearning/__init__`|
0.7|`sklearn.decomposition._pca/PCA/__init__`|`sklearn.decomposition._pca/PCA/__init__`|
0.6875|`sklearn.cross_decomposition._pls/PLSSVD/__init__`|`sklearn.cross_decomposition._pls/PLSSVD/__init__`|
0.6817|`sklearn.decomposition._nmf/NMF/fit`|`sklearn.decomposition._nmf/_BaseNMF/fit`|
0.6765|`sklearn.decomposition._kernel_pca/KernelPCA/__init__`|`sklearn.decomposition._kernel_pca/KernelPCA/__init__`|
0.6413|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/__init__`|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/__init__`|
0.6346|`sklearn.decomposition._nmf/NMF/__init__`|`sklearn.decomposition._nmf/NMF/__init__`|
0.6345|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/partial_fit`|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/partial_fit`|
0.6299|`sklearn.decomposition._nmf/NMF/_more_tags`|`sklearn.decomposition._nmf/_BaseNMF/_more_tags`|
0.625|`sklearn.decomposition._truncated_svd/TruncatedSVD/__init__`|`sklearn.decomposition._truncated_svd/TruncatedSVD/__init__`|
0.6202|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/fit`|`sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/fit`|
0.6|`sklearn.decomposition._sparse_pca/MiniBatchSparsePCA/__init__`|`sklearn.decomposition._sparse_pca/MiniBatchSparsePCA/__init__`|
0.5909|`sklearn.decomposition._fastica/FastICA/__init__`|`sklearn.decomposition._fastica/FastICA/__init__`|
0.534|`sklearn.decomposition._fastica/FastICA/_fit`|`sklearn.decomposition._fastica/FastICA/_fit_transform`|
-|`sklearn/sklearn.cross_decomposition._pls/_center_scale_xy`||
-|`sklearn/sklearn.cross_decomposition._pls/_get_first_singular_vectors_power_method`||
-|`sklearn/sklearn.cross_decomposition._pls/_get_first_singular_vectors_svd`||
-|`sklearn/sklearn.cross_decomposition._pls/_pinv2_old`||
-|`sklearn/sklearn.cross_decomposition._pls/_svd_flip_1d`||
-|`sklearn/sklearn.decomposition._dict_learning/_check_positive_coding`||
-|`sklearn/sklearn.decomposition._dict_learning/_sparse_encode`||
-|`sklearn/sklearn.decomposition._dict_learning/_update_dict`||
-|`sklearn/sklearn.decomposition._dict_learning/dict_learning`||
-|`sklearn/sklearn.decomposition._dict_learning/dict_learning_online`||
-|`sklearn/sklearn.decomposition._dict_learning/sparse_encode`||
-|`sklearn/sklearn.decomposition._factor_analysis/_ortho_rotation`||
-|`sklearn/sklearn.decomposition._fastica/_cube`||
-|`sklearn/sklearn.decomposition._fastica/_exp`||
-|`sklearn/sklearn.decomposition._fastica/_gs_decorrelation`||
-|`sklearn/sklearn.decomposition._fastica/_ica_def`||
-|`sklearn/sklearn.decomposition._fastica/_ica_par`||
-|`sklearn/sklearn.decomposition._fastica/_logcosh`||
-|`sklearn/sklearn.decomposition._fastica/_sym_decorrelation`||
-|`sklearn/sklearn.decomposition._fastica/fastica`||
-|`sklearn/sklearn.decomposition._lda/_update_doc_distribution`||
-|`sklearn/sklearn.decomposition._nmf/_beta_divergence`||
-|`sklearn/sklearn.decomposition._nmf/_beta_loss_to_float`||
-|`sklearn/sklearn.decomposition._nmf/_check_init`||
-|`sklearn/sklearn.decomposition._nmf/_check_string_param`||
-|`sklearn/sklearn.decomposition._nmf/_compute_regularization`||
-|`sklearn/sklearn.decomposition._nmf/_fit_coordinate_descent`||
-|`sklearn/sklearn.decomposition._nmf/_fit_multiplicative_update`||
-|`sklearn/sklearn.decomposition._nmf/_initialize_nmf`||
-|`sklearn/sklearn.decomposition._nmf/_multiplicative_update_h`||
-|`sklearn/sklearn.decomposition._nmf/_multiplicative_update_w`||
-|`sklearn/sklearn.decomposition._nmf/_special_sparse_dot`||
-|`sklearn/sklearn.decomposition._nmf/_update_coordinate_descent`||
-|`sklearn/sklearn.decomposition._nmf/non_negative_factorization`||
-|`sklearn/sklearn.decomposition._nmf/norm`||
-|`sklearn/sklearn.decomposition._nmf/trace_dot`||
-|`sklearn/sklearn.decomposition._pca/_assess_dimension`||
-|`sklearn/sklearn.decomposition._pca/_infer_dimension`||
-|`sklearn/sklearn.decomposition.setup/configuration`||
-||`sklearn/sklearn.decomposition._nmf/MiniBatchNMF`|
-||`sklearn/sklearn.decomposition._nmf/_BaseNMF`|
-||`sklearn/sklearn.decomposition._sparse_pca/_BaseSparsePCA`|
-||`sklearn/sklearn.cross_decomposition._pls/_center_scale_xy`|
-||`sklearn/sklearn.cross_decomposition._pls/_get_first_singular_vectors_power_method`|
-||`sklearn/sklearn.cross_decomposition._pls/_get_first_singular_vectors_svd`|
-||`sklearn/sklearn.cross_decomposition._pls/_pinv2_old`|
-||`sklearn/sklearn.cross_decomposition._pls/_svd_flip_1d`|
-||`sklearn/sklearn.decomposition._dict_learning/_check_positive_coding`|
-||`sklearn/sklearn.decomposition._dict_learning/_check_warn_deprecated`|
-||`sklearn/sklearn.decomposition._dict_learning/_sparse_encode`|
-||`sklearn/sklearn.decomposition._dict_learning/_update_dict`|
-||`sklearn/sklearn.decomposition._dict_learning/dict_learning`|
-||`sklearn/sklearn.decomposition._dict_learning/dict_learning_online`|
-||`sklearn/sklearn.decomposition._dict_learning/sparse_encode`|
-||`sklearn/sklearn.decomposition._factor_analysis/_ortho_rotation`|
-||`sklearn/sklearn.decomposition._fastica/_cube`|
-||`sklearn/sklearn.decomposition._fastica/_exp`|
-||`sklearn/sklearn.decomposition._fastica/_gs_decorrelation`|
-||`sklearn/sklearn.decomposition._fastica/_ica_def`|
-||`sklearn/sklearn.decomposition._fastica/_ica_par`|
-||`sklearn/sklearn.decomposition._fastica/_logcosh`|
-||`sklearn/sklearn.decomposition._fastica/_sym_decorrelation`|
-||`sklearn/sklearn.decomposition._fastica/fastica`|
-||`sklearn/sklearn.decomposition._lda/_update_doc_distribution`|
-||`sklearn/sklearn.decomposition._nmf/_beta_divergence`|
-||`sklearn/sklearn.decomposition._nmf/_beta_loss_to_float`|
-||`sklearn/sklearn.decomposition._nmf/_check_init`|
-||`sklearn/sklearn.decomposition._nmf/_fit_coordinate_descent`|
-||`sklearn/sklearn.decomposition._nmf/_fit_multiplicative_update`|
-||`sklearn/sklearn.decomposition._nmf/_initialize_nmf`|
-||`sklearn/sklearn.decomposition._nmf/_multiplicative_update_h`|
-||`sklearn/sklearn.decomposition._nmf/_multiplicative_update_w`|
-||`sklearn/sklearn.decomposition._nmf/_special_sparse_dot`|
-||`sklearn/sklearn.decomposition._nmf/_update_coordinate_descent`|
-||`sklearn/sklearn.decomposition._nmf/non_negative_factorization`|
-||`sklearn/sklearn.decomposition._nmf/norm`|
-||`sklearn/sklearn.decomposition._nmf/trace_dot`|
-||`sklearn/sklearn.decomposition._pca/_assess_dimension`|
-||`sklearn/sklearn.decomposition._pca/_infer_dimension`|
1.0|`sklearn/sklearn.decomposition._nmf/NMF/tol`|`sklearn/sklearn.decomposition._nmf/_BaseNMF/tol`|
1.0|`sklearn/sklearn.decomposition._nmf/NMF/max_iter`|`sklearn/sklearn.decomposition._nmf/_BaseNMF/max_iter`|
1.0|`sklearn/sklearn.decomposition._nmf/NMF/l1_ratio`|`sklearn/sklearn.decomposition._nmf/_BaseNMF/l1_ratio`|
1.0|`sklearn/sklearn.decomposition._nmf/NMF/verbose`|`sklearn/sklearn.decomposition._nmf/_BaseNMF/verbose`|
1.0|`sklearn/sklearn.decomposition._sparse_pca/SparsePCA/alpha`|`sklearn/sklearn.decomposition._sparse_pca/_BaseSparsePCA/alpha`|
1.0|`sklearn/sklearn.decomposition._sparse_pca/SparsePCA/ridge_alpha`|`sklearn/sklearn.decomposition._sparse_pca/_BaseSparsePCA/ridge_alpha`|
1.0|`sklearn/sklearn.decomposition._sparse_pca/SparsePCA/tol`|`sklearn/sklearn.decomposition._sparse_pca/_BaseSparsePCA/tol`|
1.0|`sklearn/sklearn.decomposition._sparse_pca/SparsePCA/method`|`sklearn/sklearn.decomposition._sparse_pca/_BaseSparsePCA/method`|
1.0|`sklearn/sklearn.decomposition._sparse_pca/SparsePCA/verbose`|`sklearn/sklearn.decomposition._sparse_pca/_BaseSparsePCA/verbose`|
1.0|`sklearn/sklearn.cross_decomposition._pls/_PLS/scale`|`sklearn/sklearn.cross_decomposition._pls/_PLS/scale`|
1.0|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/scale`|`sklearn/sklearn.cross_decomposition._pls/PLSSVD/scale`|
1.0|`sklearn/sklearn.cross_decomposition._pls/_PLS/n_iter_`|`sklearn/sklearn.cross_decomposition._pls/_PLS/n_iter_`|
1.0|`sklearn/sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/split_sign`|`sklearn/sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/split_sign`|
1.0|`sklearn/sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/positive_dict`|`sklearn/sklearn.decomposition._dict_learning/MiniBatchDictionaryLearning/positive_dict`|
1.0|`sklearn/sklearn.decomposition._dict_learning/DictionaryLearning/positive_dict`|`sklearn/sklearn.decomposition._dict_learning/DictionaryLearning/positive_dict`|
1.0|`sklearn/sklearn.decomposition._factor_analysis/FactorAnalysis/iterated_power`|`sklearn/sklearn.decomposition._factor_analysis/FactorAnalysis/iterated_power`|
1.0|`sklearn/sklearn.decomposition._factor_analysis/FactorAnalysis/random_state`|`sklearn/sklearn.decomposition._factor_analysis/FactorAnalysis/random_state`|
1.0|`sklearn/sklearn.decomposition._factor_analysis/FactorAnalysis/loglike_`|`sklearn/sklearn.decomposition._factor_analysis/FactorAnalysis/loglike_`|
1.0|`sklearn/sklearn.decomposition._fastica/FastICA/mixing_`|`sklearn/sklearn.decomposition._fastica/FastICA/mixing_`|
1.0|`sklearn/sklearn.decomposition._incremental_pca/IncrementalPCA/n_samples_seen_`|`sklearn/sklearn.decomposition._incremental_pca/IncrementalPCA/n_samples_seen_`|
1.0|`sklearn/sklearn.decomposition._incremental_pca/IncrementalPCA/mean_`|`sklearn/sklearn.decomposition._incremental_pca/IncrementalPCA/mean_`|
1.0|`sklearn/sklearn.decomposition._incremental_pca/IncrementalPCA/var_`|`sklearn/sklearn.decomposition._incremental_pca/IncrementalPCA/var_`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/degree`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/degree`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/coef0`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/coef0`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/fit_inverse_transform`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/fit_inverse_transform`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/remove_zero_eig`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/remove_zero_eig`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/tol`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/tol`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/copy_X`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/copy_X`|
1.0|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/_centerer`|`sklearn/sklearn.decomposition._kernel_pca/KernelPCA/_centerer`|
1.0|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/learning_decay`|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/learning_decay`|
1.0|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/learning_offset`|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/learning_offset`|
1.0|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/evaluate_every`|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/evaluate_every`|
1.0|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/total_samples`|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/total_samples`|
1.0|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/perp_tol`|`sklearn/sklearn.decomposition._lda/LatentDirichletAllocation/perp_tol`|
